y,ds
46,2023-04-11
43,2023-04-11
46,2023-04-11
41,2023-04-11
43,2023-04-11
42,2023-04-11
43,2023-04-11
45,2023-04-11
43,2023-04-11
44,2023-04-11
45,2023-04-11
44,2023-04-11
47,2023-04-11
48,2023-04-11
45,2023-04-11
46,2023-04-11
44,2023-04-11
47,2023-04-11
47,2023-04-11
47,2023-04-11
48,2023-04-11
48,2023-04-11
50,2023-04-11
53,2023-04-11
52,2023-04-11
50,2023-04-11
52,2023-04-11
56,2023-04-11
52,2023-04-11
53,2023-04-11
54,2023-04-11
53,2023-04-11
55,2023-04-11
55,2023-04-11
56,2023-04-11
53,2023-04-11
56,2023-04-11
56,2023-04-11
59,2023-04-11
60,2023-04-11
62,2023-04-11
64,2023-04-11
64,2023-04-11
63,2023-04-11
67,2023-04-11
68,2023-04-11
68,2023-04-11
70,2023-04-11
73,2023-04-11
74,2023-04-11
74,2023-04-11
76,2023-04-11
77,2023-04-11
78,2023-04-11
78,2023-04-11
81,2023-04-11
83,2023-04-11
85,2023-04-11
89,2023-04-11
94,2023-04-11
96,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
97,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
98,2023-04-11
97,2023-04-11
97,2023-04-11
98,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
96,2023-04-11
96,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
97,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
95,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
96,2023-04-11
95,2023-04-11
95,2023-04-11
96,2023-04-11
95,2023-04-11
95,2023-04-11
95,2023-04-11
95,2023-04-11
95,2023-04-11
95,2023-04-11
95,2023-04-11
95,2023-04-11
95,2023-04-11
95,2023-04-11
95,2023-04-11
94,2023-04-11
94,2023-04-11
94,2023-04-11
94,2023-04-11
94,2023-04-11
94,2023-04-11
94,2023-04-11
94,2023-04-11
93,2023-04-11
93,2023-04-11
93,2023-04-11
92,2023-04-11
92,2023-04-11
92,2023-04-11
91,2023-04-11
91,2023-04-11
91,2023-04-11
90,2023-04-11
89,2023-04-11
88,2023-04-11
88,2023-04-11
88,2023-04-11
87,2023-04-11
87,2023-04-11
86,2023-04-11
86,2023-04-11
85,2023-04-11
84,2023-04-11
83,2023-04-11
81,2023-04-11
80,2023-04-11
79,2023-04-11
78,2023-04-11
78,2023-04-11
77,2023-04-11
76,2023-04-11
76,2023-04-11
75,2023-04-11
74,2023-04-11
74,2023-04-11
73,2023-04-11
73,2023-04-11
73,2023-04-11
72,2023-04-11
73,2023-04-11
72,2023-04-11
71,2023-04-10
71,2023-04-10
70,2023-04-10
70,2023-04-10
69,2023-04-10
69,2023-04-10
69,2023-04-10
69,2023-04-10
70,2023-04-10
67,2023-04-10
66,2023-04-10
67,2023-04-10
68,2023-04-10
69,2023-04-10
67,2023-04-10
68,2023-04-10
64,2023-04-10
64,2023-04-10
64,2023-04-10
65,2023-04-10
67,2023-04-10
66,2023-04-10
66,2023-04-10
67,2023-04-10
68,2023-04-10
68,2023-04-10
69,2023-04-10
69,2023-04-10
69,2023-04-10
69,2023-04-10
68,2023-04-10
70,2023-04-10
68,2023-04-10
68,2023-04-10
67,2023-04-10
69,2023-04-10
68,2023-04-10
67,2023-04-10
67,2023-04-10
66,2023-04-10
67,2023-04-10
66,2023-04-10
65,2023-04-10
63,2023-04-10
66,2023-04-10
66,2023-04-10
67,2023-04-10
67,2023-04-10
68,2023-04-10
66,2023-04-10
66,2023-04-10
65,2023-04-10
68,2023-04-10
69,2023-04-10
72,2023-04-10
73,2023-04-10
72,2023-04-10
71,2023-04-10
73,2023-04-10
73,2023-04-10
74,2023-04-10
74,2023-04-10
73,2023-04-10
74,2023-04-10
74,2023-04-10
75,2023-04-10
74,2023-04-10
75,2023-04-10
74,2023-04-10
75,2023-04-10
74,2023-04-10
73,2023-04-10
74,2023-04-10
74,2023-04-10
75,2023-04-10
77,2023-04-10
79,2023-04-10
80,2023-04-10
79,2023-04-10
76,2023-04-10
72,2023-04-10
73,2023-04-10
73,2023-04-10
72,2023-04-10
72,2023-04-10
72,2023-04-10
71,2023-04-10
71,2023-04-10
70,2023-04-10
69,2023-04-10
72,2023-04-10
73,2023-04-10
72,2023-04-10
73,2023-04-10
73,2023-04-10
73,2023-04-10
76,2023-04-10
77,2023-04-10
80,2023-04-10
80,2023-04-10
83,2023-04-10
84,2023-04-10
85,2023-04-10
85,2023-04-10
84,2023-04-10
85,2023-04-10
85,2023-04-10
86,2023-04-10
85,2023-04-10
88,2023-04-10
87,2023-04-10
90,2023-04-10
92,2023-04-10
94,2023-04-10
95,2023-04-10
95,2023-04-10
96,2023-04-10
97,2023-04-10
97,2023-04-10
98,2023-04-10
98,2023-04-10
98,2023-04-10
98,2023-04-10
98,2023-04-10
98,2023-04-10
98,2023-04-10
98,2023-04-10
98,2023-04-10
98,2023-04-10
98,2023-04-10
98,2023-04-10
98,2023-04-10
98,2023-04-10
98,2023-04-10
98,2023-04-10
98,2023-04-10
97,2023-04-10
97,2023-04-10
98,2023-04-10
97,2023-04-10
98,2023-04-10
98,2023-04-10
97,2023-04-10
98,2023-04-10
98,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
98,2023-04-10
98,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
96,2023-04-10
96,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
97,2023-04-10
96,2023-04-10
96,2023-04-10
96,2023-04-10
96,2023-04-10
96,2023-04-10
96,2023-04-10
96,2023-04-10
96,2023-04-10
96,2023-04-10
96,2023-04-10
96,2023-04-10
95,2023-04-10
95,2023-04-10
95,2023-04-10
95,2023-04-10
95,2023-04-10
95,2023-04-10
95,2023-04-10
95,2023-04-10
94,2023-04-10
94,2023-04-10
94,2023-04-10
94,2023-04-10
94,2023-04-10
94,2023-04-10
94,2023-04-10
94,2023-04-10
93,2023-04-10
93,2023-04-10
93,2023-04-10
93,2023-04-10
92,2023-04-10
92,2023-04-10
92,2023-04-10
91,2023-04-10
91,2023-04-10
90,2023-04-10
89,2023-04-10
89,2023-04-10
88,2023-04-10
88,2023-04-10
87,2023-04-10
88,2023-04-10
87,2023-04-10
87,2023-04-10
87,2023-04-10
87,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
86,2023-04-10
85,2023-04-10
84,2023-04-10
84,2023-04-10
83,2023-04-10
83,2023-04-10
82,2023-04-10
82,2023-04-10
82,2023-04-10
82,2023-04-10
82,2023-04-10
82,2023-04-10
82,2023-04-10
82,2023-04-10
82,2023-04-10
81,2023-04-10
81,2023-04-10
81,2023-04-10
82,2023-04-10
82,2023-04-10
81,2023-04-10
81,2023-04-10
80,2023-04-10
80,2023-04-10
79,2023-04-10
79,2023-04-10
78,2023-04-10
78,2023-04-10
77,2023-04-10
77,2023-04-10
76,2023-04-10
75,2023-04-10
74,2023-04-10
73,2023-04-10
73,2023-04-10
73,2023-04-10
73,2023-04-10
73,2023-04-10
72,2023-04-10
72,2023-04-10
72,2023-04-10
72,2023-04-10
72,2023-04-10
71,2023-04-10
72,2023-04-10
71,2023-04-09
71,2023-04-09
71,2023-04-09
70,2023-04-09
69,2023-04-09
69,2023-04-09
66,2023-04-09
66,2023-04-09
65,2023-04-09
66,2023-04-09
66,2023-04-09
66,2023-04-09
64,2023-04-09
64,2023-04-09
64,2023-04-09
64,2023-04-09
63,2023-04-09
62,2023-04-09
62,2023-04-09
62,2023-04-09
62,2023-04-09
60,2023-04-09
60,2023-04-09
59,2023-04-09
60,2023-04-09
61,2023-04-09
59,2023-04-09
60,2023-04-09
59,2023-04-09
59,2023-04-09
61,2023-04-09
59,2023-04-09
59,2023-04-09
60,2023-04-09
59,2023-04-09
59,2023-04-09
59,2023-04-09
57,2023-04-09
59,2023-04-09
58,2023-04-09
57,2023-04-09
58,2023-04-09
58,2023-04-09
58,2023-04-09
57,2023-04-09
58,2023-04-09
57,2023-04-09
57,2023-04-09
56,2023-04-09
59,2023-04-09
62,2023-04-09
61,2023-04-09
64,2023-04-09
60,2023-04-09
62,2023-04-09
63,2023-04-09
63,2023-04-09
64,2023-04-09
64,2023-04-09
64,2023-04-09
64,2023-04-09
65,2023-04-09
66,2023-04-09
69,2023-04-09
68,2023-04-09
68,2023-04-09
70,2023-04-09
70,2023-04-09
70,2023-04-09
72,2023-04-09
73,2023-04-09
73,2023-04-09
74,2023-04-09
75,2023-04-09
76,2023-04-09
76,2023-04-09
76,2023-04-09
77,2023-04-09
75,2023-04-09
76,2023-04-09
77,2023-04-09
77,2023-04-09
77,2023-04-09
79,2023-04-09
79,2023-04-09
82,2023-04-09
80,2023-04-09
79,2023-04-09
79,2023-04-09
78,2023-04-09
81,2023-04-09
84,2023-04-09
84,2023-04-09
84,2023-04-09
87,2023-04-09
87,2023-04-09
88,2023-04-09
93,2023-04-09
94,2023-04-09
96,2023-04-09
98,2023-04-09
98,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
100,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
99,2023-04-09
98,2023-04-09
99,2023-04-09
98,2023-04-09
98,2023-04-09
99,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
98,2023-04-09
97,2023-04-09
97,2023-04-09
97,2023-04-09
97,2023-04-09
97,2023-04-09
97,2023-04-09
96,2023-04-09
96,2023-04-09
96,2023-04-09
96,2023-04-09
96,2023-04-09
96,2023-04-09
96,2023-04-09
96,2023-04-09
96,2023-04-09
96,2023-04-09
96,2023-04-09
96,2023-04-09
95,2023-04-09
95,2023-04-09
95,2023-04-09
95,2023-04-09
95,2023-04-09
95,2023-04-09
94,2023-04-09
94,2023-04-09
94,2023-04-09
94,2023-04-09
94,2023-04-09
94,2023-04-09
94,2023-04-09
94,2023-04-09
94,2023-04-09
94,2023-04-09
94,2023-04-09
94,2023-04-09
93,2023-04-09
93,2023-04-09
93,2023-04-09
93,2023-04-09
93,2023-04-09
92,2023-04-09
92,2023-04-09
92,2023-04-09
92,2023-04-09
92,2023-04-09
92,2023-04-09
92,2023-04-09
92,2023-04-09
91,2023-04-09
91,2023-04-09
91,2023-04-09
91,2023-04-09
92,2023-04-09
92,2023-04-09
92,2023-04-09
91,2023-04-09
91,2023-04-09
92,2023-04-09
91,2023-04-09
91,2023-04-09
91,2023-04-09
91,2023-04-09
91,2023-04-09
91,2023-04-09
91,2023-04-09
91,2023-04-09
92,2023-04-09
92,2023-04-09
92,2023-04-09
92,2023-04-09
92,2023-04-09
92,2023-04-09
93,2023-04-09
93,2023-04-09
93,2023-04-09
93,2023-04-09
93,2023-04-09
93,2023-04-09
93,2023-04-09
92,2023-04-09
92,2023-04-09
92,2023-04-09
92,2023-04-09
92,2023-04-09
92,2023-04-09
92,2023-04-09
91,2023-04-09
91,2023-04-09
90,2023-04-09
90,2023-04-09
90,2023-04-09
89,2023-04-09
88,2023-04-09
88,2023-04-09
87,2023-04-09
87,2023-04-09
86,2023-04-09
85,2023-04-09
84,2023-04-09
83,2023-04-09
82,2023-04-09
80,2023-04-09
79,2023-04-09
78,2023-04-09
77,2023-04-09
75,2023-04-09
76,2023-04-09
75,2023-04-09
74,2023-04-09
74,2023-04-08
74,2023-04-08
74,2023-04-08
73,2023-04-08
73,2023-04-08
71,2023-04-08
71,2023-04-08
72,2023-04-08
70,2023-04-08
71,2023-04-08
70,2023-04-08
69,2023-04-08
72,2023-04-08
70,2023-04-08
70,2023-04-08
72,2023-04-08
71,2023-04-08
72,2023-04-08
71,2023-04-08
70,2023-04-08
70,2023-04-08
72,2023-04-08
72,2023-04-08
70,2023-04-08
72,2023-04-08
71,2023-04-08
72,2023-04-08
72,2023-04-08
71,2023-04-08
72,2023-04-08
70,2023-04-08
70,2023-04-08
73,2023-04-08
73,2023-04-08
73,2023-04-08
71,2023-04-08
73,2023-04-08
72,2023-04-08
71,2023-04-08
73,2023-04-08
74,2023-04-08
74,2023-04-08
74,2023-04-08
72,2023-04-08
72,2023-04-08
74,2023-04-08
75,2023-04-08
74,2023-04-08
75,2023-04-08
73,2023-04-08
78,2023-04-08
76,2023-04-08
77,2023-04-08
78,2023-04-08
78,2023-04-08
81,2023-04-08
79,2023-04-08
81,2023-04-08
80,2023-04-08
78,2023-04-08
80,2023-04-08
80,2023-04-08
82,2023-04-08
80,2023-04-08
81,2023-04-08
82,2023-04-08
82,2023-04-08
82,2023-04-08
84,2023-04-08
82,2023-04-08
84,2023-04-08
84,2023-04-08
85,2023-04-08
85,2023-04-08
85,2023-04-08
86,2023-04-08
85,2023-04-08
86,2023-04-08
87,2023-04-08
86,2023-04-08
86,2023-04-08
86,2023-04-08
87,2023-04-08
87,2023-04-08
87,2023-04-08
88,2023-04-08
88,2023-04-08
88,2023-04-08
88,2023-04-08
89,2023-04-08
88,2023-04-08
88,2023-04-08
89,2023-04-08
88,2023-04-08
87,2023-04-08
88,2023-04-08
88,2023-04-08
89,2023-04-08
89,2023-04-08
90,2023-04-08
91,2023-04-08
91,2023-04-08
92,2023-04-08
92,2023-04-08
92,2023-04-08
92,2023-04-08
92,2023-04-08
93,2023-04-08
93,2023-04-08
93,2023-04-08
93,2023-04-08
94,2023-04-08
94,2023-04-08
94,2023-04-08
94,2023-04-08
94,2023-04-08
95,2023-04-08
96,2023-04-08
97,2023-04-08
97,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
99,2023-04-08
98,2023-04-08
99,2023-04-08
98,2023-04-08
99,2023-04-08
98,2023-04-08
99,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
98,2023-04-08
97,2023-04-08
98,2023-04-08
97,2023-04-08
98,2023-04-08
97,2023-04-08
98,2023-04-08
97,2023-04-08
97,2023-04-08
97,2023-04-08
97,2023-04-08
97,2023-04-08
97,2023-04-08
97,2023-04-08
97,2023-04-08
97,2023-04-08
97,2023-04-08
97,2023-04-08
97,2023-04-08
97,2023-04-08
97,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
95,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
95,2023-04-07
96,2023-04-07
96,2023-04-07
95,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
97,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
97,2023-04-07
96,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
96,2023-04-07
97,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
94,2023-04-07
94,2023-04-07
94,2023-04-07
94,2023-04-07
94,2023-04-07
94,2023-04-07
94,2023-04-07
94,2023-04-07
94,2023-04-07
94,2023-04-07
94,2023-04-07
94,2023-04-07
94,2023-04-07
94,2023-04-07
93,2023-04-07
93,2023-04-07
92,2023-04-07
93,2023-04-07
93,2023-04-07
93,2023-04-07
93,2023-04-07
94,2023-04-07
94,2023-04-07
94,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
97,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
97,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
97,2023-04-07
96,2023-04-07
96,2023-04-07
97,2023-04-07
97,2023-04-07
96,2023-04-07
96,2023-04-07
97,2023-04-07
96,2023-04-07
96,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
97,2023-04-07
96,2023-04-07
97,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
96,2023-04-07
95,2023-04-07
95,2023-04-07
95,2023-04-07
94,2023-04-07
94,2023-04-07
94,2023-04-07
93,2023-04-07
92,2023-04-07
92,2023-04-07
92,2023-04-07
92,2023-04-07
92,2023-04-07
92,2023-04-07
92,2023-04-07
92,2023-04-07
92,2023-04-07
93,2023-04-07
93,2023-04-07
93,2023-04-07
93,2023-04-07
93,2023-04-07
93,2023-04-07
93,2023-04-07
93,2023-04-07
93,2023-04-07
93,2023-04-07
92,2023-04-07
92,2023-04-07
91,2023-04-07
90,2023-04-07
89,2023-04-07
89,2023-04-07
89,2023-04-07
89,2023-04-07
89,2023-04-07
88,2023-04-07
88,2023-04-07
88,2023-04-07
89,2023-04-07
88,2023-04-07
88,2023-04-07
89,2023-04-07
89,2023-04-07
90,2023-04-07
89,2023-04-07
89,2023-04-07
90,2023-04-07
90,2023-04-07
90,2023-04-07
90,2023-04-07
90,2023-04-07
90,2023-04-07
90,2023-04-07
90,2023-04-07
91,2023-04-07
91,2023-04-07
91,2023-04-07
91,2023-04-07
90,2023-04-07
91,2023-04-07
91,2023-04-07
91,2023-04-07
91,2023-04-07
91,2023-04-07
91,2023-04-07
91,2023-04-07
91,2023-04-07
91,2023-04-07
92,2023-04-07
91,2023-04-07
